fin_year,mnth,lgd_state_code,state_name,lgd_district_code,district_name,scheme_code,total_beneficiaries,total_sc,total_st,total_gen,total_obc,total_aadhar,total_mobileno,lastUpdated
2023-2024,05,19,"WEST BENGAL",314,JALPAIGURI,IGNDPS,788,290,56,421,21,735,492,2024-07-30
2023-2024,05,19,"WEST BENGAL",320,NADIA,IGNDPS,4115,762,50,3210,93,3958,3412,2024-07-30
2023-2024,05,19,"WEST BENGAL",664,ALIPURDUAR,IGNDPS,727,275,99,353,0,696,628,2024-07-30
2023-2024,05,2,"HIMACHAL PRADESH",15,BILASPUR,IGNDPS,36,6,2,25,3,17,0,2024-07-30
2023-2024,05,2,"HIMACHAL PRADESH",20,KULLU,IGNDPS,32,8,0,20,4,11,0,2024-07-30
2023-2024,05,2,"HIMACHAL PRADESH",21,"LAHUL AND SPITI",IGNDPS,13,1,11,1,0,0,0,2024-07-30
2023-2024,04,8,RAJASTHAN,114,SIKAR,IGNDPS,737,177,24,200,336,616,642,2024-07-30
2023-2024,04,8,RAJASTHAN,629,PRATAPGARH,IGNDPS,618,51,453,32,82,499,517,2024-07-30
2023-2024,04,8,RAJASTHAN,89,BARAN,IGNDPS,1532,398,325,118,691,1199,1149,2024-07-30
2023-2024,04,8,RAJASTHAN,90,BARMER,IGNDPS,1058,182,74,199,603,837,861,2024-07-30
2023-2024,04,8,RAJASTHAN,92,BHILWARA,IGNDPS,810,192,127,114,377,609,601,2024-07-30
2023-2024,04,8,RAJASTHAN,95,CHITTORGARH,IGNDPS,532,124,72,119,217,372,393,2024-07-30
2023-2024,04,8,RAJASTHAN,96,CHURU,IGNDPS,1011,271,15,232,493,697,746,2024-07-30
2023-2024,04,9,"UTTAR PRADESH",128,BANDA,IGNDPS,1516,312,1,355,848,608,1035,2024-07-30
2023-2024,04,9,"UTTAR PRADESH",133,BUDAUN,IGNDPS,1850,360,7,399,1084,884,1162,2024-07-30
2023-2024,04,9,"UTTAR PRADESH",136,CHITRAKOOT,IGNDPS,1064,300,0,179,585,271,762,2024-07-30
2023-2024,04,9,"UTTAR PRADESH",142,FATEHPUR,IGNDPS,1863,505,2,476,880,847,1211,2024-07-30
2023-2024,04,9,"UTTAR PRADESH",144,"GAUTAM BUDDHA NAGAR",IGNDPS,378,79,0,99,200,121,249,2024-07-30
2023-2024,04,9,"UTTAR PRADESH",150,HARDOI,IGNDPS,2377,794,4,596,983,1076,1465,2024-07-30
2023-2024,04,9,"UTTAR PRADESH",153,JHANSI,IGNDPS,897,312,0,119,466,310,686,2024-07-30
2023-2024,04,9,"UTTAR PRADESH",154,"JYOTIBA PHOOLE NAGAR",IGNDPS,812,156,0,218,438,351,684,2024-07-30
2023-2024,04,9,"UTTAR PRADESH",165,MAHOBA,IGNDPS,235,62,0,37,136,78,175,2024-07-30
2023-2024,04,9,"UTTAR PRADESH",166,MAINPURI,IGNDPS,1296,260,1,266,769,626,897,2024-07-30
2023-2024,04,9,"UTTAR PRADESH",167,MATHURA,IGNDPS,1668,372,0,432,864,761,1171,2024-07-30
2023-2024,04,9,"UTTAR PRADESH",176,RAMPUR,IGNDPS,725,87,0,330,308,356,491,2024-07-30
2023-2024,04,9,"UTTAR PRADESH",183,SITAPUR,IGNDPS,3062,1006,3,903,1150,1196,2081,2024-07-30
2023-2024,08,8,RAJASTHAN,101,HANUMANGARH,IGNDPS,530,211,4,80,235,452,484,2024-07-30
2023-2024,08,8,RAJASTHAN,107,JODHPUR,IGNDPS,778,192,30,312,244,569,636,2024-07-30
2023-2024,08,8,RAJASTHAN,108,KAROULI,IGNDPS,659,181,120,118,240,498,579,2024-07-30
2023-2024,08,8,RAJASTHAN,92,BHILWARA,IGNDPS,820,193,129,114,384,619,611,2024-07-30
2023-2024,08,9,"UTTAR PRADESH",134,BULANDSHAHR,IGNDPS,1662,462,3,429,768,678,1107,2024-07-30
2023-2024,08,9,"UTTAR PRADESH",138,ETAH,IGNDPS,1061,201,1,250,609,443,702,2024-07-30
2023-2024,08,9,"UTTAR PRADESH",141,FARRUKHABAD,IGNDPS,1306,191,1,339,775,452,742,2024-07-30
2023-2024,08,9,"UTTAR PRADESH",144,"GAUTAM BUDDHA NAGAR",IGNDPS,378,79,0,99,200,121,249,2024-07-30
2023-2024,08,9,"UTTAR PRADESH",149,HAMIRPUR,IGNDPS,706,169,1,128,408,292,472,2024-07-30
2023-2024,08,9,"UTTAR PRADESH",152,JAUNPUR,IGNDPS,4201,932,3,770,2496,1486,2479,2024-07-30
2023-2024,08,9,"UTTAR PRADESH",159,KHERI,IGNDPS,2372,617,21,681,1053,1019,1567,2024-07-30
2023-2024,08,9,"UTTAR PRADESH",162,LUCKNOW,IGNDPS,1620,733,3,272,612,808,1303,2024-07-30
2023-2024,08,9,"UTTAR PRADESH",164,MAHARAJGANJ,IGNDPS,3203,437,5,681,2080,1055,1911,2024-07-30
2023-2024,08,9,"UTTAR PRADESH",165,MAHOBA,IGNDPS,235,62,0,37,136,78,175,2024-07-30
2023-2024,08,9,"UTTAR PRADESH",182,"SIDDHARTH NAGAR",IGNDPS,2852,451,0,1017,1384,1032,1765,2024-07-30
2023-2024,08,9,"UTTAR PRADESH",183,SITAPUR,IGNDPS,3062,1006,3,903,1150,1196,2081,2024-07-30
2023-2024,08,9,"UTTAR PRADESH",185,SULTANPUR,IGNDPS,2534,472,0,947,1115,1196,1928,2024-07-30
2023-2024,12,1,"JAMMU AND KASHMIR",11,PULWAMA,IGNDPS,107,0,6,92,9,101,59,2024-07-30
2023-2024,12,1,"JAMMU AND KASHMIR",12,RAJAURI,IGNDPS,103,6,8,89,0,34,1,2024-07-30
2023-2024,12,1,"JAMMU AND KASHMIR",14,UDHAMPUR,IGNDPS,69,12,6,46,5,57,20,2024-07-30
